Total; tran P X,Total; tran P Y,/w_CLK X,/w_CLK Y,/w_D X,/w_D Y,/A X,/A Y,/B X,/B Y,/C X,/C Y,/D X,/D Y,/Z X,/Z Y
2.484650026244167e-06,0.003269569853212219,2.484650026244167e-06,0,2.484650026244167e-06,2.7900157465003,2.484650026244167e-06,0.03053006912247834,2.484650026244167e-06,1.400279950692854,2.484650026244167e-06,2.998442596410174,2.484650026244167e-06,2.998468656359531,2.484650026244167e-06,1.703263068737311
2.485e-06,0.003295277811941498,2.485e-06,0,2.485e-06,2.999999999999876,2.485e-06,0.03053479552123586,2.485e-06,1.370791180891706,2.485e-06,2.998457361150024,2.485e-06,2.998484109034665,2.485e-06,1.714063822063766
2.485187050388964e-06,0.003274293040068125,2.485187050388964e-06,0,2.485187050388964e-06,3,2.485187050388964e-06,0.03053737787183755,2.485187050388964e-06,1.355103634836176,2.485187050388964e-06,2.998465230861611,2.485187050388964e-06,2.998492370716588,2.485187050388964e-06,1.719800939633565
2.485416152230369e-06,0.00325349672229793,2.485416152230369e-06,0,2.485416152230369e-06,3,2.485416152230369e-06,0.03054305248731422,2.485416152230369e-06,1.335907586508871,2.485416152230369e-06,2.998474574633247,2.485416152230369e-06,2.998502483784362,2.485416152230369e-06,1.726831056778417
2.485634335333204e-06,0.003237596113881638,2.485634335333204e-06,0,2.485634335333204e-06,3,2.485634335333204e-06,0.03055112548238922,2.485634335333204e-06,1.317678702904346,2.485634335333204e-06,2.998483653118654,2.485634335333204e-06,2.998512120500676,2.485634335333204e-06,1.733506786531508
2.486070701538875e-06,0.003211105500844407,2.486070701538875e-06,0,2.486070701538875e-06,3,2.486070701538875e-06,0.03057296798794982,2.486070701538875e-06,1.28138277252665,2.486070701538875e-06,2.998501931743399,2.486070701538875e-06,2.99853136951163,2.486070701538875e-06,1.74680739641957
2.486521344653402e-06,0.003187497802355239,2.486521344653402e-06,0,2.486521344653402e-06,3,2.486521344653402e-06,0.03059408690726527,2.486521344653402e-06,1.244136272684623,2.486521344653402e-06,2.998520767768865,2.486521344653402e-06,2.998551209472237,2.486521344653402e-06,1.760473447378799
2.487101211742054e-06,0.003160482656820709,2.487101211742054e-06,0,2.487101211742054e-06,3,2.487101211742054e-06,0.03061351378655874,2.487101211742054e-06,1.196591603128195,2.487101211742054e-06,2.998544830580507,2.487101211742054e-06,2.998576655806544,2.487101211742054e-06,1.777962126183123
2.487807034059817e-06,0.003131718367043034,2.487807034059817e-06,0,2.487807034059817e-06,3,2.487807034059817e-06,0.03062569457820829,2.487807034059817e-06,1.139356655626781,2.487807034059817e-06,2.998573840049132,2.487807034059817e-06,2.998607457030706,2.487807034059817e-06,1.799129937860568
2.488862603395094e-06,0.003096341719175525,2.488862603395094e-06,0,2.488862603395094e-06,3,2.488862603395094e-06,0.03062932111303312,2.488862603395094e-06,1.055277671902651,2.488862603395094e-06,2.998616568756961,2.488862603395094e-06,2.998653054364513,2.488862603395094e-06,1.830636613435166
2.490217889432958e-06,0.003063016030983593,2.490217889432958e-06,0,2.490217889432958e-06,3,2.490217889432958e-06,0.03062597771596993,2.490217889432958e-06,0.950688388294351,2.490217889432958e-06,2.998670151168018,2.490217889432958e-06,2.998710572947365,2.490217889432958e-06,1.871024895757142
2.491954671382984e-06,0.003036235640868797,2.491954671382984e-06,0,2.491954671382984e-06,3,2.491954671382984e-06,0.03062482376776633,2.491954671382984e-06,0.8247795149377453,2.491954671382984e-06,2.998736459349986,2.491954671382984e-06,2.998781999749261,2.491954671382984e-06,1.922673646058036
2.494025734750134e-06,0.003019432956518276,2.494025734750134e-06,0,2.494025734750134e-06,3,2.494025734750134e-06,0.03063023356282338,2.494025734750134e-06,0.6919858302599257,2.494025734750134e-06,2.998811774701582,2.494025734750134e-06,2.998864204760646,2.494025734750134e-06,1.983355902996787
2.496383004797457e-06,0.003010061571497821,2.496383004797457e-06,0,2.496383004797457e-06,3,2.496383004797457e-06,0.03064163636636544,2.496383004797457e-06,0.56134543328937,2.496383004797457e-06,2.998892241370509,2.496383004797457e-06,2.998949630322719,2.496383004797457e-06,2.050575268998683
2.498992295203339e-06,0.003004241998895155,2.498992295203339e-06,0,2.498992295203339e-06,3,2.498992295203339e-06,0.03065243362662821,2.498992295203339e-06,0.4365231061880467,2.498992295203339e-06,2.998974500097545,2.498992295203339e-06,2.999040674449654,2.498992295203339e-06,2.123506700433651
2.501675564502144e-06,0.003000628737503705,2.501675564502144e-06,0,2.501675564502144e-06,3,2.501675564502144e-06,0.03065991777775302,2.501675564502144e-06,0.3312173325251646,2.501675564502144e-06,2.999052390230456,2.501675564502144e-06,2.999126467155755,2.501675564502144e-06,2.197791703880344
2.504663659975642e-06,0.002998672827428452,2.504663659975642e-06,0,2.504663659975642e-06,3,2.504663659975642e-06,0.03066260334148009,2.504663659975642e-06,0.2412787914198314,2.504663659975642e-06,2.999130900472816,2.504663659975642e-06,2.99921459823704,2.504663659975642e-06,2.279796766275653
